Datasheet,Image,DK Part #,MfrPartNum,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status",Capacitance,"Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://atceramics.com/userFiles/uploads/pdfs/600l.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/0402%20(1005%20Metric).jpg","1284-1921-2-ND,1284-1921-1-ND,1284-1921-6-ND","600L3R6BT200T","American Technical Ceramics","American Technical Ceramics","CAP CER 3.6PF 200V NP0 0402","1,230","1.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ATC 600L","Active","3.6 pF","±0.1pF","200V","C0G, NP0","-55°C ~ 125°C","High Q, Low Loss, Ultra Low ESR","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","0402 (1005 Metric)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)","-","0.024"" (0.60mm)","-","-"
"https://datasheets.kyocera-avx.com/800B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-1969-2-ND,1284-1969-1-ND,1284-1969-6-ND","800B3R3CT500XT","American Technical Ceramics","American Technical Ceramics","CAP CER 3.3PF 500V NP0 1111","1,831","2.93","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ATC 800B","Active","3.3 pF","±0.25pF","500V","C0G, NP0","-55°C ~ 125°C","High Q, Low Loss, Ultra Low ESR","-","RF, Microwave, High Frequency","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.070"" (1.78mm)","-","-"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B8R2CT500XT1KTR-ND,1284-100B8R2CT500XT1KCT-ND,1284-100B8R2CT500XT1KDKR-ND","100B8R2CT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 8.2PF 500V P90 1111","6,984","5.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","8.2 pF","±0.25pF","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100a.pdf","//media.digikey.com/Photos/American%20Technical%20Ceramics/MFG_100Axxxxx150XT.jpg","1284-1468-2-ND,1284-1468-1-ND,1284-1468-6-ND","100A4R7CT150XT","American Technical Ceramics","American Technical Ceramics","CAP CER 4.7PF 150V P90 0505","9,744","3.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100A","Active","4.7 pF","±0.25pF","150V","P90","-55°C ~ 125°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","0505 (1313 Metric)","0.055"" L x 0.055"" W (1.40mm x 1.40mm)","-","0.057"" (1.45mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100b.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B6R2BT500XT1KTR-ND,1284-100B6R2BT500XT1KCT-ND,1284-100B6R2BT500XT1KDKR-ND","100B6R2BT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 6.2PF 500V P90 1111","1,297","5.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","6.2 pF","±0.1pF","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100b.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B560FT500XT1KTR-ND,1284-100B560FT500XT1KCT-ND,1284-100B560FT500XT1KDKR-ND","100B560FT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 56PF 500V P90 1111","5,557","7.89","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","56 pF","±1%","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100b.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B0R6BT500XT1KTR-ND,1284-100B0R6BT500XT1KCT-ND,1284-100B0R6BT500XT1KDKR-ND","100B0R6BT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 0.6PF 500V P90 1111","1,195","4.8","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","0.6 pF","±0.1pF","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B910JT500XT1KTR-ND,1284-100B910JT500XT1KCT-ND,1284-100B910JT500XT1KDKR-ND","100B910JT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 91PF 500V P90 1111","765","6.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","91 pF","±5%","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100b.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-1568-2-ND,1284-1568-1-ND,1284-1568-6-ND","100B560JTN500XT","American Technical Ceramics","American Technical Ceramics","CAP CER 56PF 500V P90 1111","490","6.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","56 pF","±5%","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B391JTN200XT1KTR-ND,1284-100B391JTN200XT1KCT-ND,1284-100B391JTN200XT1KDKR-ND","100B391JTN200XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 390PF 200V P90 1111","429","7.89","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","390 pF","±5%","200V","P90","-55°C ~ 125°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
